"filename", "language", "Markdown", "JSON", "JavaScript", "Vue", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\babel.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\package-lock.json", "JSON", 0, 15409, 0, 0, 0, 0, 0, 1, 15410
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\package.json", "JSON", 0, 76, 0, 0, 0, 0, 0, 1, 77
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 16, 1, 1, 18
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\App.vue", "Vue", 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\assets\reset.css", "CSS", 0, 0, 0, 0, 25, 0, 1, 1, 27
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\components\BlogContentBox.vue", "Vue", 0, 0, 0, 214, 0, 0, 1, 3, 218
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\components\HeaderBox.vue", "Vue", 0, 0, 0, 76, 0, 0, 6, 3, 85
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\components\NewBlogBox.vue", "Vue", 0, 0, 0, 88, 0, 0, 1, 3, 92
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\components\PersonalInfomationBox.vue", "Vue", 0, 0, 0, 186, 0, 0, 1, 4, 191
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\main.js", "JavaScript", 0, 0, 10, 0, 0, 0, 3, 2, 15
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\router\index.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 4, 48
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\store\index.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 2, 25
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\views\CreationSpaceHomePage.vue", "Vue", 0, 0, 0, 59, 0, 0, 9, 3, 71
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\views\CreationSpaceWriteBlog.vue", "Vue", 0, 0, 0, 55, 0, 0, 9, 3, 67
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\views\HomePage.vue", "Vue", 0, 0, 0, 37, 0, 0, 2, 3, 42
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\views\Login.vue", "Vue", 0, 0, 0, 128, 0, 0, 1, 3, 132
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\views\PersonalInfo.vue", "Vue", 0, 0, 0, 32, 0, 0, 1, 3, 36
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\views\Regist.vue", "Vue", 0, 0, 0, 134, 0, 0, 1, 3, 138
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\tests\unit\example.spec.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\vue.config.js", "JavaScript", 0, 0, 13, 0, 0, 0, 1, 1, 15
"Total", "-", 23, 15485, 106, 1022, 25, 16, 38, 56, 16771